Date,Open,High,Low,Close,Adj Close,Volume,Ticker
8/22/19,213.1900024,214.4400024,210.75,212.4600067,211.322525,22253700,AAPL
8/23/19,209.4299927,212.0500031,201,202.6399994,201.5550995,46818000,AAPL
8/26/19,205.8600006,207.1900024,205.0599976,206.4900055,205.3844757,26043600,AAPL
8/27/19,207.8600006,208.5500031,203.5299988,204.1600037,203.0669556,25873300,AAPL
8/28/19,204.1000061,205.7200012,203.3200073,205.5299988,204.4296265,15938800,AAPL
8/29/19,208.5,209.3200073,206.6600037,209.0099945,207.890976,20990500,AAPL
8/30/19,210.1600037,210.4499969,207.1999969,208.7400055,207.6224365,21143400,AAPL
9/3/19,206.4299927,206.9799957,204.2200012,205.6999969,204.5986938,20023000,AAPL
9/4/19,208.3899994,209.4799957,207.3200073,209.1900024,208.0700378,19188100,AAPL
9/5/19,212,213.9700012,211.5099945,213.2799988,212.1381226,23913700,AAPL
9/6/19,214.0500031,214.4199982,212.5099945,213.2599945,212.1182251,19362300,AAPL
9/9/19,214.8399963,216.4400024,211.0700073,214.1699982,213.0233612,27309400,AAPL
9/10/19,213.8600006,216.7799988,211.7100067,216.6999969,215.5398102,31777900,AAPL
9/11/19,218.0700073,223.7100067,217.7299957,223.5899963,222.3929291,44289600,AAPL
9/12/19,224.8000031,226.4199982,222.8600006,223.0899963,221.8955994,32226700,AAPL
9/13/19,220,220.7899933,217.0200043,218.75,217.5788422,39763300,AAPL
9/16/19,217.7299957,220.1300049,217.5599976,219.8999939,218.7226868,21158100,AAPL
9/17/19,219.9600067,220.8200073,219.1199951,220.6999969,219.5184021,18318700,AAPL
9/18/19,221.0599976,222.8500061,219.4400024,222.7700043,221.5773315,25340000,AAPL
9/19/19,222.0099945,223.7599945,220.3699951,220.9600067,219.7770233,22060600,AAPL
9/20/19,221.3800049,222.5599976,217.4700012,217.7299957,216.5642853,55413100,AAPL
9/23/19,218.9499969,219.8399963,217.6499939,218.7200012,217.548996,19165500,AAPL
9/24/19,221.0299988,222.4900055,217.1900024,217.6799927,216.5145569,31190800,AAPL
9/25/19,218.5500031,221.5,217.1399994,221.0299988,219.8466339,21903400,AAPL
9/26/19,220,220.9400024,218.8300018,219.8899994,218.712738,18833500,AAPL
9/27/19,220.5399933,220.9600067,217.2799988,218.8200073,217.6484833,25352000,AAPL
9/30/19,220.8999939,224.5800018,220.7899933,223.9700012,222.7708893,25977400,AAPL
10/1/19,225.0700073,228.2200012,224.1999969,224.5899963,223.3875732,34805800,AAPL
10/2/19,223.0599976,223.5800018,217.9299927,218.9600067,217.7877197,34612300,AAPL
10/3/19,218.4299927,220.9600067,215.1300049,220.8200073,219.6377563,28606500,AAPL
10/4/19,225.6399994,227.4900055,223.8899994,227.0099945,225.7946167,34619700,AAPL
10/7/19,226.2700043,229.9299927,225.8399963,227.0599976,225.8443451,30576500,AAPL
10/8/19,225.8200073,228.0599976,224.3300018,224.3999939,223.1985931,27955000,AAPL
10/9/19,227.0299988,227.7899933,225.6399994,227.0299988,225.8145142,18692600,AAPL
10/10/19,227.9299927,230.4400024,227.3000031,230.0899963,228.8581238,28253400,AAPL
10/11/19,232.9499969,237.6399994,232.3099976,236.2100067,234.9453583,41698900,AAPL
10/14/19,234.8999939,238.1300049,234.6699982,235.8699951,234.6071777,24106900,AAPL
10/15/19,236.3899994,237.6499939,234.8800049,235.3200073,234.0601349,21840000,AAPL
10/16/19,233.3699951,235.2400055,233.1999969,234.3699951,233.1152039,18475800,AAPL
10/17/19,235.0899963,236.1499939,233.5200043,235.2799988,234.02034,16896300,AAPL
10/18/19,234.5899963,237.5800018,234.2899933,236.4100037,235.1443024,24358400,AAPL
10/21/19,237.5200043,240.9900055,237.3200073,240.5099945,239.2223358,21811800,AAPL
